State,Unit,FinalError,FinalSigma,FinalAbsZ,MeanSquaredNormalizedError,Coverage1Sigma,Coverage2Sigma,Coverage3Sigma
x_E,m,0.0100879381816412,0.0136449130672837,0.739318611404639,1.51358024401329,0.511608201999661,0.92238603626504,0.998644297576682
y_E,m,-0.0070098139581205,0.0136449914796064,0.51372798353134,1.36507834638873,0.42043721403152,0.994746653109642,1
z_E,m,0.00684998318888574,0.0136444620099237,0.502033952229387,0.283251335196355,0.953736654804271,1,1
u,m/s,-0.00261867093588819,0.00363532694927924,0.720339868304661,0.296481375383587,0.93628198610405,1,1
v,m/s,-0.00418002613046703,0.00402269025369328,1.03911210330681,1.63888834601314,0.4948313845111,0.963396034570412,0.976444670394848
w,m/s,-0.00146422500167631,0.00315903893756477,0.463503309270714,0.4480289096718,0.870360955770208,0.995424504321301,1
phi,deg,0.000865744853577177,0.00149767140191449,0.57806061628104,109.250280115342,0.642772411455685,0.81952211489578,0.845110998135909
theta,deg,-0.000324197563776024,0.00143488249280639,0.225940148689074,0.778580769185009,0.836637857990171,0.956278596847992,0.983562108117268
psi,deg,0.00176246524937121,0.00117941013545956,1.49436162737779,6.55054761889733,0.382308083375699,0.566005761735299,0.897983392645314
lambda_Ax,m/s^2,8.8879883055986e-05,0.000275119973347172,0.323058635018945,0.438523671235571,0.857651245551601,1,1
lambda_Ay,m/s^2,0.000310225750722766,0.000275302947281271,1.12685226869662,1.01172270215541,0.518386714116251,1,1
lambda_Az,m/s^2,0.000301903496087576,0.000389579149484613,0.77494777758762,0.319466893828945,0.934756820877817,0.99644128113879,1
lambda_p,deg/s,-9.05026973241605e-05,7.55100347672943e-05,1.19855192231166,5.88750327782228,0.362819861040502,0.905270293170649,0.928147771564142
lambda_q,deg/s,-0.000111105076398176,7.479364748864e-05,1.48548814142339,2.18869438276703,0.294526351465853,0.843585832909676,1
lambda_r,deg/s,-0.000178066906190489,4.15013389867273e-05,4.29063038779151,12.3032511437449,0.333333333333333,0.38485002541942,0.393662091170988
W_x,m/s,-8.73124650890844e-05,0.0028604075116073,0.0305244846179356,0.0698435822399891,0.994068801897983,1,1
W_y,m/s,0.00247768792007452,0.00387163473166136,0.639959110763355,0.406000106456809,0.942721572614811,1,1
W_z,m/s,0.00110443423933049,0.00204523991810676,0.540002289977227,0.207246530324657,0.942891035417726,1,1
