Response,Parameter,Contribution,Dynamic_fraction
CY,1,0.000562521351554,0
CY,beta,0.0138809779418,0.653733254941
CY,pb/(2V),0.000496155497552,0.0233667505079
CY,rb/(2V),0.00523701813076,0.246640613014
CY,delta_a,0.00161924574736,0.0762593815369
Cl,1,0.000381962571476,0
Cl,beta,0.00342162036684,0.263243640349
Cl,pb/(2V),0.00204258651869,0.157147156394
Cl,rb/(2V),0.00266604714404,0.205113332368
Cl,delta_a,0.00486766820816,0.374495870889
Cn,1,0.00018879962483,0
Cn,beta,0.00186016557289,0.454928388771
Cn,pb/(2V),0.000656910061788,0.160656148212
Cn,rb/(2V),0.00156745222223,0.383341420961
Cn,delta_a,4.39167153837e-06,0.0010740420563
